x,y,r,fill
1618,14.3,5,goldenrod
1626,20.5,5,goldenrod
1640,367,5,goldenrod
1661,713,5,goldenrod
1684,717,5,goldenrod
1688,1015,5,goldenrod
1690,970,5,goldenrod
1726,1184,5,goldenrod
1728,1174,5,goldenrod
1748,1182,5,goldenrod
1759,1316,5,goldenrod
1790,1312,5,goldenrod
1820,1308,5,goldenrod
1843,1297,5,goldenrod
1861,1190,5,goldenrod
1865,1146,5,goldenrod
1884,1142,5,goldenrod
1908,1135,5,goldenrod
1926,1134,5,goldenrod
